Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 2,Session 1,3,Cảnh sát giao thông,Traffic police,1,"Sáng nay, Cảnh sát giao thông ghé công ty nhắc nhân viên để xe đúng vạch. Mọi người cảm ơn rồi vào họp đúng giờ.","This morning, the traffic police visited the company and reminded employees to park within the lines. Everyone thanked them and joined the meeting on time.",3,1.5,1,5
Day 2,Session 1,3,Du lịch nước ngoài,Travel abroad / Travel overseas,1,"Trong giờ nghỉ, Minh hỏi đồng nghiệp về Du lịch nước ngoài. Anh muốn biết thủ tục cơ bản trước khi xin phép nghỉ tuần sau.","During the break, Minh asked a coworker about traveling abroad. He wanted to know the basic procedures before requesting leave next week.",6,1.5,1,9
Day 2,Session 1,3,Cửa hàng tiện lợi,Convenient store,1,"Trưa nay, tôi ghé Cửa hàng tiện lợi gần công ty để mua cà phê. Sau đó, tôi quay lại văn phòng cho kịp cuộc họp.","At noon, I stopped by the convenience store near the company to buy coffee. After that, I returned to the office in time for the meeting.",8,1.5,1,12
Day 2,Session 1,3,Gần đây (địa lý),Nearby / Around here / Locally,1,"Gần đây (địa lý), văn phòng mới mở quán cà phê nhỏ cho nhân viên. Giờ nghỉ, chúng tôi thường qua đó nói chuyện nhanh về lịch họp.","Nearby, the new office opened a small café for employees. During breaks, we often go there to talk briefly about the meeting schedule.",6,1.5,1,9
Day 2,Session 1,3,Cà vạt,Tie,1,"Sáng nay, anh Minh chọn Cà vạt màu hồng trước cuộc họp. Đồng nghiệp khen anh trông gọn gàng, lịch sự và tự tin hơn.","This morning, Minh chose a pink tie before the meeting. His colleagues said he looked neater, more polite, and more confident.",6,1.5,1,9
Day 2,Session 1,3,Đồ móc khóa,Keychain,1,"Trong cuộc họp sáng, Lan đưa Đồ móc khóa cho sếp để nhận diện chìa khóa phòng kho. Anh ấy cảm ơn và ghi chú vào sổ.","At the morning meeting, Lan gave the keychain to her boss to identify the storage room key. He thanked her and noted it down.",3,1.5,1.2,5
Day 2,Session 1,3,Tạt vào / ra một chút,Pop in / out,1,"Trước cuộc họp, tôi nói với đồng nghiệp: “Tạt vào / ra một chút để lấy cà phê nhé.” Cô ấy gật đầu rồi chuẩn bị tài liệu.","Before the meeting, I told my colleague, “Let’s pop in and out for a bit to get coffee.” She nodded, then prepared the documents.",3,1.5,1,5
Day 2,Session 1,3,Đón ai đó,Pick up sb,1,"Sáng nay, trưởng nhóm nhắc tôi Đón ai đó ở sảnh công ty. Tôi kiểm tra lịch họp rồi xuống ngay để khách không phải chờ lâu.","This morning, the team lead reminded me to pick someone up in the company lobby. I checked the meeting schedule and went down immediately so the guest would not wait long.",6,1.5,1.3,12
Day 2,Session 1,3,Cho ai đó xuống,Drop sb off,1,"Trong cuộc họp, Minh nhắc tài xế: “Cho ai đó xuống ở cổng sau nếu họ vội.” Cả nhóm đồng ý để tránh trễ giờ làm.","In the meeting, Minh reminded the driver: “Drop someone off at the back gate if they are in a hurry.” The team agreed to avoid being late for work.",10,1.5,1,15
Day 2,Session 1,3,Dầu gió,Medicated oil,1,"Trong giờ nghỉ, Lan đưa Dầu gió cho đồng nghiệp bị nhức đầu. Cả nhóm cảm ơn cô rồi tiếp tục họp đúng giờ.","During the break, Lan gave medicated oil to a colleague with a headache. The team thanked her and continued the meeting on time.",3,1.5,1,5
