Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 2,Session 1,3,Cảnh sát giao thông,Traffic police,1,"Cảnh sát giao thông đứng ở ngã tư mỗi buổi sáng.","Traffic police stand at the intersection every morning.",3,1,1,3
Day 2,Session 1,3,Du lịch nước ngoài,Travel abroad / Travel overseas,1,"Gia đình tôi thích du lịch nước ngoài vào mùa hè.","My family likes to travel abroad in the summer.",3,1,1,3
Day 2,Session 1,3,Cửa hàng tiện lợi,Convenient store,1,"Tôi mua sữa ở cửa hàng tiện lợi gần nhà.","I buy milk at the convenience store near my house.",3,1,1,3
Day 2,Session 1,3,Gần đây (địa lý),Nearby / Around here / Locally,1,"Có một quán cà phê mới gần đây.","There is a new coffee shop nearby.",3,1,1,3
Day 2,Session 1,3,Cà vạt,Tie,1,"Anh ấy đeo cà vạt xanh khi đi làm.","He wears a blue tie to work.",3,1,1,3
Day 2,Session 1,3,Đồ móc khóa,Keychain,1,"Tôi treo chìa khóa xe vào đồ móc khóa nhỏ.","I hang my car keys on a small keychain.",3,1,1,3
Day 2,Session 1,3,Tạt vào / ra một chút,Pop in / out,1,"Tôi tạt vào một chút để mua bánh mì.","I pop in for a moment to buy some bread.",3,1,1,3
Day 2,Session 1,3,Đón ai đó,Pick up sb,1,"Tôi đến sân bay để đón bạn tôi.","I go to the airport to pick up my friend.",3,1,1,3
Day 2,Session 1,3,Cho ai đó xuống,Drop sb off,1,"Tài xế cho tôi xuống trước cổng công ty.","The driver drops me off in front of the company gate.",3,1,1,3
Day 2,Session 1,3,Dầu gió,Medicated oil,1,"Mẹ bôi dầu gió cho tôi khi tôi bị nhức đầu.","Mom applies medicated oil for me when I have a headache.",3,1,1,3
Day 3,Session 2,5,Cái máy lạnh,AC / Air Conditioner,2,"Cái máy lạnh trong phòng ngủ đang chạy rất êm.","The air conditioner in the bedroom is running very quietly.",5,1,1,5
Day 3,Session 2,5,Cứ thoải mái,Freely / feel free,2,"Bạn cứ thoải mái ngồi nghỉ ở phòng khách.","Please feel free to sit and relax in the living room.",5,1,1,5
Day 3,Session 2,5,Kỹ sư trưởng,Chief engineer,2,"Kỹ sư trưởng kiểm tra máy móc mỗi sáng.","The chief engineer checks the machines every morning.",5,1,1,5
Day 3,Session 2,5,Kỹ năng và khả năng,Skill and ability,2,"Kỹ năng và khả năng giao tiếp rất quan trọng.","Communication skills and abilities are very important.",5,1,1,5
Day 3,Session 2,5,Thực tập sinh,Intern / trainee / probationer / apprentice,2,"Thực tập sinh mới đang học cách viết email.","The new intern is learning how to write emails.",5,1,1,5
Day 3,Session 2,5,Có lẽ,Perhaps / maybe / most likely,2,"Có lẽ chiều nay sẽ mưa.","Perhaps it will rain this afternoon.",5,1,1,5
Day 3,Session 2,5,Duyệt,Approve / give me a go-ahead,2,"Sếp sẽ duyệt kế hoạch của chúng tôi hôm nay.","The boss will approve our plan today.",5,1,1,5
Day 3,Session 2,5,Trợ lý,Assistant / supporter / right-hand man,2,"Trợ lý của tôi đặt lịch họp mỗi tuần.","My assistant books meetings every week.",5,1,1,5
Day 3,Session 2,5,Nổi tiếng,Famous / well-known / renowned,2,"Quán này nổi tiếng vì cà phê ngon.","This shop is famous for its good coffee.",5,1,1,5
Day 3,Session 2,5,Gã khổng lồ công nghệ,Tech giant / Big Tech,2,"Gã khổng lồ công nghệ vừa ra mắt sản phẩm mới.","The tech giant just launched a new product.",5,1,1,5
Day 5,Session 3,7,Dễ (kiếm tiền),Easy money,3,"Nhiều bạn nghĩ bán hàng online dễ kiếm tiền.","Many people think selling online is easy money.",7,1,1,7
Day 5,Session 3,7,Hợp đồng,Contract,3,"Tôi đọc kỹ hợp đồng trước khi ký.","I read the contract carefully before signing.",7,1,1,7
Day 5,Session 3,7,Ký một cái hợp đồng,Sign a contract,3,"Công ty vừa ký một cái hợp đồng lớn.","The company just signed a big contract.",7,1,1,7
Day 5,Session 3,7,Trước tiên,First / firstly / first off,3,"Trước tiên, chúng ta cần chuẩn bị tài liệu.","First, we need to prepare the documents.",7,1,1,7
Day 5,Session 3,7,Thương lượng,Negotiate,3,"Hai bên thương lượng về giá cả hôm qua.","The two sides negotiated the price yesterday.",7,1,1,7
Day 5,Session 3,7,Ồn ào / to mồm,Noisy / loud-mouthed,3,"Đường phố hôm nay thật ồn ào.","The streets are very noisy today.",7,1,1,7
Day 5,Session 3,7,Đồng nghiệp,Coworker / colleague / office buddy,3,"Đồng nghiệp giúp tôi hoàn thành công việc.","My colleagues help me finish the work.",7,1,1,7
Day 5,Session 3,7,Thuyết trình,Present / do presentation,3,"Tôi sẽ thuyết trình về dự án mới.","I will present the new project.",7,1,1,7
Day 5,Session 3,7,Không màu / đen trắng,Colorless / black and white,3,"Văn phòng in tài liệu đen trắng để tiết kiệm.","The office prints documents in black and white to save money.",7,1,1,7
Day 5,Session 3,7,Vấn đề thiếu hụt nhân lực,Staff shortage / headcount problem,3,"Vấn đề thiếu hụt nhân lực khiến dự án chậm lại.","The staff shortage problem is slowing the project down.",7,1,1,7
Day 6,Session 4,9,Quá nhanh,(Way) too fast,4,"Xe chạy quá nhanh trên đường nhỏ, nên tôi cảm thấy lo lắng và nhắc tài xế giảm tốc độ lại.","The car was going too fast on the small road, so I felt worried and reminded the driver to slow down.",9,1.5,1.3,18
Day 6,Session 4,9,Nhiều khi / có mấy lúc,Sometimes / once in a while / at times,4,"Nhiều khi tôi cảm thấy mệt sau giờ làm, nhưng tôi vẫn cố gắng ở bên gia đình vào buổi tối.","Sometimes I feel tired after work, but I still try to spend time with my family in the evening.",9,1.5,1.3,18
Day 6,Session 4,9,Tôi e là không,I'm afraid not,4,"Khi sếp hỏi tôi có thể họp vào cuối tuần không, tôi e là không vì tôi đã có kế hoạch với gia đình.","When the boss asked if I could meet on the weekend, I'm afraid not because I already had plans with my family.",9,1.5,1.3,18
Day 6,Session 4,9,(Ý anh) là sao?,What'd you mean?,4,"Nghe anh nói về thay đổi lịch trình, tôi chưa hiểu rõ nên hỏi lại ý anh là sao để tránh nhầm lẫn.","Hearing him talk about the schedule change, I did not quite understand, so I asked what he meant to avoid confusion.",9,1.5,1.3,18
Day 6,Session 4,9,Phức tạp,Complicated / complex / like a mess,4,"Công việc này khá phức tạp vì có nhiều bước, nên chúng ta cần chia nhỏ nhiệm vụ và làm cẩn thận từng phần.","This work is quite complicated because it has many steps, so we need to break down the tasks and do each part carefully.",9,1.5,1.3,18
Day 6,Session 4,9,Mỗi 5 năm,Every 5 years,4,"Công ty chúng tôi tổ chức một chuyến du lịch lớn mỗi 5 năm để cảm ơn nhân viên đã cống hiến lâu dài.","Our company organizes a big trip every five years to thank employees for their long-term dedication.",9,1.5,1.3,18
Day 6,Session 4,9,Thông thường,Usually / often / always,4,"Thông thường, tôi dậy sớm để tập thể dục, nhưng hôm nay tôi ngủ thêm vì đêm qua làm việc đến khuya.","Usually I wake up early to exercise, but today I slept in because I worked late last night.",9,1.5,1.3,18
Day 6,Session 4,9,Bìa sách & gáy sách,Book cover & book spine,4,"Trước khi in hàng loạt, nhân viên kiểm tra kỹ bìa sách và gáy sách để đảm bảo không có lỗi nào.","Before mass printing, the staff carefully checks the book cover and spine to make sure there are no errors.",9,1.5,1.3,18
Day 6,Session 4,9,Tốt hơn là cậu nên…,You'd better… / You should...,4,"Tốt hơn là cậu nên hoàn thành báo cáo trước thứ Sáu, nếu không chúng ta sẽ không kịp gửi cho khách hàng.","You had better finish the report before Friday, otherwise we will not have time to send it to the client.",9,1.5,1.3,18
Day 6,Session 4,9,Chọn,Select / choose / pick / go for,4,"Có rất nhiều màu sơn đẹp, nhưng cuối cùng tôi chọn màu xanh nhạt vì nó làm căn phòng trông sáng hơn.","There were many beautiful paint colors, but in the end I chose light blue because it makes the room look brighter.",9,1.5,1.3,18
Day 11,Session 5,11,Chuỗi cung ứng,Supply chain,5,"Đại dịch đã làm gián đoạn chuỗi cung ứng toàn cầu, khiến nhiều công ty không nhận được nguyên liệu đúng hạn.","The pandemic disrupted the global supply chain, causing many companies to not receive materials on time.",11,1.5,1.3,21
Day 11,Session 5,11,Thiếu hụt,Shortage / scarcity,5,"Nhiều quốc gia đang đối mặt với tình trạng thiếu hụt lao động, đặc biệt là trong ngành y tế và xây dựng.","Many countries are facing a labor shortage, especially in the healthcare and construction industries.",11,1.5,1.3,21
Day 11,Session 5,11,Đại dịch,Pandemic / epidemic,5,"Đại dịch đã thay đổi hoàn toàn cách chúng ta làm việc, khi hàng triệu nhân viên chuyển sang làm việc tại nhà.","The pandemic completely changed the way we work, as millions of people switched to working from home.",11,1.5,1.3,21
Day 11,Session 5,11,Chính phủ Trung Quốc,Chinese government,5,"Chính phủ Trung Quốc đã công bố chính sách mới nhằm hỗ trợ các doanh nghiệp nhỏ bị ảnh hưởng bởi suy thoái kinh tế.","The Chinese government announced a new policy to support small businesses affected by the economic recession.",11,1.5,1.3,21
Day 11,Session 5,11,đóng cửa,Shut down,5,"Nhiều nhà hàng nhỏ buộc phải đóng cửa vì chi phí thuê mặt bằng tăng cao và lượng khách giảm sút.","Many small restaurants were forced to shut down because of high rent costs and fewer customers.",11,1.5,1.3,21
Day 11,Session 5,11,Nỗi đau thật sự,Real pain point,5,"Nỗi đau thật sự của doanh nghiệp không phải là thiếu vốn, mà là không tìm được nhân tài phù hợp.","The real pain point of businesses is not a lack of capital, but the inability to find suitable talent.",11,1.5,1.3,21
Day 11,Session 5,11,Thượng Hải,Shanghai,5,"Thượng Hải là một trong những trung tâm tài chính lớn nhất châu Á, thu hút nhiều nhà đầu tư nước ngoài.","Shanghai is one of the largest financial centers in Asia, attracting many foreign investors.",11,1.5,1.3,21
Day 11,Session 5,11,Giá xăng,Gas prices,5,"Giá xăng tăng mạnh trong những tháng gần đây, khiến nhiều gia đình phải cân nhắc kỹ hơn về việc đi lại.","Gas prices have risen sharply in recent months, forcing people to think more carefully about their travel.",11,1.5,1.3,21
