Session,STT,Unit (Ohm),Tiếng Việt,Tiếng Anh,Session No.,Complete Sentence (Vie),Complete Sentence (Eng),TC,LC,TL,CVR
Day 2,Session 1,3,Cảnh sát giao thông,Traffic police,1,"Sáng nay, Cảnh sát giao thông đứng gần nhà tôi.","This morning, the traffic police stood near my house.",3,1,1,3
Day 2,Session 1,3,Du lịch nước ngoài,Travel abroad / Travel overseas,1,Tôi muốn Du lịch nước ngoài vào mùa hè này.,I want to travel abroad this summer.,3,1,1,3
Day 2,Session 1,3,Cửa hàng tiện lợi,Convenient store,1,Tôi mua nước ở Cửa hàng tiện lợi mỗi sáng.,I buy water at the convenience store every morning.,3,1,1,3
Day 2,Session 1,3,Gần đây (địa lý),Nearby / Around here / Locally,1,"Nhà tôi ở Gần đây (địa lý), nên tôi đi bộ.","My house is nearby, so I walk.",8,1.5,1,12
Day 2,Session 1,3,Cà vạt,Tie,1,"Sáng nay, tôi đeo Cà vạt đi làm.","This morning, I wear a tie to work.",3,1,1,3
Day 2,Session 1,3,Đồ móc khóa,Keychain,1,Tôi để Đồ móc khóa hồng trên bàn mỗi sáng.,I put the pink keychain on the table every morning.,3,1,1,3
Day 2,Session 1,3,Tạt vào / ra một chút,Pop in / out,1,"Tạt vào / ra một chút, tôi mua nước nhé.",Pop in or out for a bit; I'll buy water.,3,1,1,3
Day 2,Session 1,3,Đón ai đó,Pick up sb,1,"Sáng nay, tôi Đón ai đó ở cổng nhà.","This morning, I pick someone up at the house gate.",3,1,1,3
Day 2,Session 1,3,Cho ai đó xuống,Drop sb off,1,Mẹ bảo tôi Cho ai đó xuống xe ở đây.,Mom told me to let someone get off here.,3,1,1,3
Day 2,Session 1,3,Dầu gió,Medicated oil,1,Mẹ bôi Dầu gió cho tôi sau bữa sáng.,Mom applies medicated oil for me after breakfast.,3,1,1,3
Day 3,Session 2,5,Cái máy lạnh,AC / Air Conditioner,2,Cái máy lạnh trong phòng tôi đang chạy rất êm.,The air conditioner in my room is running very quietly.,5,1,1,5
Day 3,Session 2,5,Cứ thoải mái,Freely / feel free,2,"Cứ thoải mái, bạn uống nước rồi đi nhé.","Take it easy, drink some water, then go.",5,1,1,5
Day 3,Session 2,5,Kỹ sư trưởng,Chief engineer,2,Kỹ sư trưởng chào tôi vào mỗi buổi sáng.,The chief engineer greets me every morning.,5,1,1,5
Day 3,Session 2,5,Kỹ năng và khả năng,Skill and ability,2,Em học Kỹ năng và khả năng mỗi sáng.,I study skills and abilities every morning.,5,1,1,5
Day 3,Session 2,5,Thực tập sinh,Intern / trainee / probationer / apprentice,2,Thực tập sinh đi ăn trưa với tôi hôm nay.,The intern has lunch with me today.,5,1,1,5
Day 3,Session 2,5,Có lẽ,Perhaps / maybe / most likely,2,Có lẽ sáng nay tôi ăn cơm ở nhà.,Maybe I will eat rice at home this morning.,5,1,1,5
Day 3,Session 2,5,Duyệt,Approve / give me a go-ahead,2,"Sáng nay, Duyệt uống nước rồi đi học.","This morning, Duyệt drinks water then goes to school.",5,1,1,5
Day 3,Session 2,5,Trợ lý,Assistant / supporter / right-hand man,2,"Mỗi sáng, Trợ lý chào tôi và hỏi giờ.","Every morning, the assistant greets me and asks the time.",5,1,1,5
Day 3,Session 2,5,Nổi tiếng,Famous / well-known / renowned,2,Mẹ tôi Nổi tiếng vì nấu ăn ngon mỗi sáng.,My mother is famous for cooking well every morning.,5,1,1,5
Day 3,Session 2,5,Gã khổng lồ công nghệ,Tech giant / Big Tech,2,Tôi đọc về Gã khổng lồ công nghệ.,I read about the tech giant.,5,1,1.3,7
Day 5,Session 3,7,Dễ (kiếm tiền),Easy money,3,Tôi thấy bán bánh sáng nay Dễ (kiếm tiền).,I think selling cakes this morning is easy for making money.,7,1,1,7
Day 5,Session 3,7,Hợp đồng,Contract,3,Tôi cất Hợp đồng vào cặp trước khi đi làm.,I put the contract in my bag before going to work.,7,1,1,7
Day 5,Session 3,7,Ký một cái hợp đồng,Sign a contract,3,"Ký một cái hợp đồng xong, tôi đi ăn sáng.","After signing a contract, I go have breakfast.",7,1,1,7
Day 5,Session 3,7,Trước tiên,First / firstly / first off,3,"Trước tiên, tôi rửa mặt rồi ăn sáng ở nhà.","First, I wash my face then eat breakfast at home.",7,1,1,7
Day 5,Session 3,7,Thương lượng,Negotiate,3,Mẹ bảo tôi Thương lượng giá rau ở chợ.,Mom told me to negotiate vegetable prices at the market.,7,1,1,7
Day 5,Session 3,7,Ồn ào / to mồm,Noisy / loud-mouthed,3,Bạn đừng Ồn ào / to mồm khi mẹ ngủ.,Don't be noisy / loud-mouthed when Mom is sleeping.,7,1,1,7
Day 5,Session 3,7,Đồng nghiệp,Coworker / colleague / office buddy,3,Đồng nghiệp của tôi uống cà phê vào buổi sáng.,My colleague drinks coffee in the morning.,7,1,1,7
Day 5,Session 3,7,Thuyết trình,Present / do presentation,3,"Sáng nay, tôi có Thuyết trình ngắn ở lớp.","This morning, I have a short presentation in class.",7,1,1,7
Day 5,Session 3,7,Không màu / đen trắng,Colorless / black and white,3,"Sáng nay, tôi xem ảnh Không màu / đen trắng.","This morning, I look at a colorless / black-and-white photo.",0,1,1,1
Day 5,Session 3,7,Vấn đề thiếu hụt nhân lực,Staff shortage / headcount problem,3,Vấn đề thiếu hụt nhân lực làm tôi mệt.,The staffing shortage issue makes me tired.,7,1,1.3,9
Day 6,Session 4,9,Quá nhanh,(Way) too fast,4,"Bạn nói Quá nhanh, nên tôi không nghe rõ.","You speak too fast, so I can't hear clearly.",9,1,1,9
Day 6,Session 4,9,Nhiều khi / có mấy lúc,Sometimes / once in a while / at times,4,Nhiều khi / có mấy lúc tôi dậy sớm.,"Sometimes, I wake up early.",9,1,1,9
Day 6,Session 4,9,Tôi e là không,I'm afraid not,4,"Tôi e là không, hôm nay tôi ở nhà.",I'm afraid not; today I stay home.,9,1,1,9
Day 6,Session 4,9,(Ý anh) là sao?,What'd you mean?,4,Nam nói mình đi học muộn; (Ý anh) là sao?,Nam says we’ll go to school late; what do you mean?,9,1,1,9
Day 6,Session 4,9,Phức tạp,Complicated / complex / like a mess,4,"Sáng nay không Phức tạp, tôi chỉ ăn bánh mì.",This morning is not complicated; I just eat bread.,9,1,1,9
Day 6,Session 4,9,Mỗi 5 năm,Every 5 years,4,"Mỗi 5 năm, tôi mua giường mới cho phòng ngủ.","Every 5 years, I buy a new bed for the bedroom.",9,1,1,9
Day 6,Session 4,9,Thông thường,Usually / often / always,4,"Thông thường, tôi ăn sáng rồi đi học mỗi ngày.","Usually, I eat breakfast and then go to school every day.",9,1,1,9
Day 6,Session 4,9,Bìa sách & gáy sách,Book cover & book spine,4,"Mỗi sáng, tôi lau Bìa sách & gáy sách.","Every morning, I clean the book cover and spine.",9,1,1,9
Day 6,Session 4,9,Tốt hơn là cậu nên…,You'd better… / You should...,4,Tốt hơn là cậu nên… ngủ sớm tối nay.,You'd better go to bed early tonight.,9,1,1,9
Day 6,Session 4,9,Chọn,Select / choose / pick / go for,4,"Buổi sáng, tôi Chọn áo trắng rồi đi học.","In the morning, I choose a white shirt and go to school.",9,1,1,9
Day 11,Session 5,11,Chuỗi cung ứng,Supply chain,5,"Thành thật mà nói, công việc Chuỗi cung ứng khó.","Honestly, the supply chain job is hard.",5,1,1.3,7
Day 11,Session 5,11,Thiếu hụt,Shortage / scarcity,5,"Thiếu hụt công việc, thành thật mà nói, tôi mệt.","Honestly, the lack of work makes me tired.",5,1,1,5
Day 11,Session 5,11,Đại dịch,Pandemic / epidemic,5,"Đại dịch làm công việc khó, thành thật mà nói.","The pandemic makes work hard, honestly.",5,1,1.3,7
Day 11,Session 5,11,Chính phủ Trung Quốc,Chinese government,5,"Chính phủ Trung Quốc, thành thật mà nói, công việc.","The Chinese government, honestly, work.",5,1,1,5
Day 11,Session 5,11,đóng cửa,Shut down,5,"Thành thật mà nói, đóng cửa là công việc dễ.","Honestly, closing the door is an easy task.",5,1,1,5
Day 11,Session 5,11,Nỗi đau thật sự,Real pain point,5,"Nỗi đau thật sự, thành thật mà nói: công việc.","The real pain, honestly, is work.",5,1,1,5
Day 11,Session 5,11,Thượng Hải,Shanghai,5,"Thành thật mà nói, công việc ở Thượng Hải ổn.","Honestly, work in Shanghai is fine.",5,1,1,5
